Method,Final R²,ΔR² Gain,Total Time (min),Diversity (%),Overall Score
M0: Random Baseline,0.8137,+0.0638,27.7,58.3%,50.3
M1: Sobol Grid,0.8629,+0.1130,39.0,0.0%,52.8
M2: MultiStart (n=20),0.8515,+0.1015,28.5,0.0%,52.2
M2: MultiStart (n=50),0.8599,+0.1099,50.9,0.0%,49.5
M2: Actual Hybrid,0.8323,+0.0823,42.9,0.0%,43.6
M3: KMeans Pool,0.8526,+0.1026,31.8,53.3%,59.6
M4: MC Batch,0.8358,+0.0858,40.0,26.7%,49.1
M5: Bayesian Coreset,0.8287,+0.0788,39.6,3.3%,43.7
M6: Joint Entropy,0.8437,+0.0938,38.0,0.0%,47.7
M7: Trajectory Opt,0.8110,+0.0610,40.7,10.0%,39.6
