method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M0_Random,M0: Random Baseline,1,1,M0_Random_i1_p1,0.8352,0.6832,27.2505,1.5743,0.2668,0.2732,15.7981,3.9760,0.0321,YES
M0_Random,M0: Random Baseline,1,2,M0_Random_i1_p2,1.5910,0.4268,24.9918,0.9826,0.6718,0.0727,7.1847,0.3590,0.0113,YES
M0_Random,M0: Random Baseline,1,3,M0_Random_i1_p3,1.3308,0.6662,39.8973,1.2594,0.7957,0.2029,11.3583,2.0333,0.0034,YES
M0_Random,M0: Random Baseline,1,4,M0_Random_i1_p4,1.0986,0.4245,12.3171,1.0958,0.3537,0.3926,10.9859,0.4220,0.0772,NO
M0_Random,M0: Random Baseline,1,5,M0_Random_i1_p5,1.1225,0.5672,18.3993,1.1683,0.5059,0.3413,11.9433,1.5020,0.2800,NO
M0_Random,M0: Random Baseline,1,6,M0_Random_i1_p6,1.2544,0.3235,30.0935,1.3764,0.9956,0.0008,11.0242,1.5346,0.0015,YES
M0_Random,M0: Random Baseline,1,7,M0_Random_i1_p7,1.4176,0.7834,15.1010,0.8535,0.6413,0.1299,8.2003,0.5723,0.0332,YES
M0_Random,M0: Random Baseline,1,8,M0_Random_i1_p8,0.9624,0.5251,33.3630,1.4897,0.1710,0.4616,13.4310,2.8498,0.0767,NO
M0_Random,M0: Random Baseline,1,9,M0_Random_i1_p9,0.9023,0.6306,15.7345,1.3441,0.7555,0.4174,17.8204,3.7761,0.1279,NO
M0_Random,M0: Random Baseline,1,10,M0_Random_i1_p10,1.4715,0.3889,35.8057,1.1115,0.2959,0.2411,7.7078,0.5289,0.1398,NO
M0_Random,M0: Random Baseline,1,11,M0_Random_i1_p11,1.2068,0.7180,20.8714,1.4340,0.3847,0.1124,10.0728,0.8763,0.1639,NO
M0_Random,M0: Random Baseline,1,12,M0_Random_i1_p12,1.1640,0.4617,30.6390,0.8233,0.8776,0.2956,10.9031,0.7409,0.0291,YES
M0_Random,M0: Random Baseline,1,13,M0_Random_i1_p13,1.0400,0.7487,36.7736,0.9376,0.9101,0.4706,15.9375,2.1489,0.0588,NO
