method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M2_Actual,M2: Actual Hybrid,1,1,M2_Actual_i1_p1,0.8000,0.7707,33.2345,0.8600,0.9372,0.0363,15.8645,1.1887,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,2,M2_Actual_i1_p2,0.8000,0.7678,25.3615,1.5342,0.2582,0.4818,19.6850,2.5612,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,3,M2_Actual_i1_p3,0.8000,0.3540,35.2813,1.5247,0.9469,0.4786,18.5786,2.6714,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,4,M2_Actual_i1_p4,0.8000,0.3455,18.3708,1.5271,0.9388,0.4814,20.6750,3.9982,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,5,M2_Actual_i1_p5,0.8000,0.7715,36.2617,1.5351,0.9410,0.0428,16.1985,1.0328,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,6,M2_Actual_i1_p6,0.8000,0.7601,35.6293,0.8730,0.9351,0.4756,18.8423,2.7016,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,7,M2_Actual_i1_p7,0.8000,0.7567,14.2159,1.5289,0.9380,0.4802,21.4743,3.7794,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,8,M2_Actual_i1_p8,0.8000,0.7582,15.1796,0.8727,0.9432,0.4808,19.1552,2.1454,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,9,M2_Actual_i1_p9,1.6000,0.3481,36.4603,1.5562,0.9397,0.4819,14.4486,4.5940,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,10,M2_Actual_i1_p10,0.8000,0.3268,33.0858,1.5133,0.2680,0.4872,15.8287,2.4801,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,11,M2_Actual_i1_p11,0.8000,0.3367,34.2490,0.8543,0.1609,0.0285,13.7850,1.5373,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,12,M2_Actual_i1_p12,0.8000,0.5454,11.7302,1.5484,0.1271,0.0443,15.0625,1.7318,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,13,M2_Actual_i1_p13,0.8000,0.3399,16.4450,0.8658,0.4833,0.4850,15.0358,1.1595,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,14,M2_Actual_i1_p14,0.8000,0.3306,31.3810,1.5546,0.6260,0.0246,16.1184,2.2527,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,15,M2_Actual_i1_p15,0.8000,0.7617,31.8046,1.5259,0.9384,0.4780,22.5602,9.8588,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,16,M2_Actual_i1_p16,0.8000,0.7667,17.5423,0.8595,0.1871,0.4805,14.9442,1.8726,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,17,M2_Actual_i1_p17,0.8000,0.7664,36.9160,0.8600,0.1702,0.0313,15.9390,1.1984,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,18,M2_Actual_i1_p18,0.8000,0.3480,31.9131,0.8666,0.9374,0.4778,15.8329,1.8501,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,19,M2_Actual_i1_p19,0.8000,0.7623,18.0248,0.8633,0.1975,0.4824,14.9717,1.5007,0.0000,YES
M2_Actual,M2: Actual Hybrid,1,20,M2_Actual_i1_p20,0.8000,0.3401,36.6688,1.3572,0.9415,0.0353,15.5427,1.2910,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,1,M2_Actual_i2_p1,0.8000,0.3336,14.2126,0.8628,0.9564,0.4777,16.6290,1.6177,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,2,M2_Actual_i2_p2,1.6000,0.7615,37.0041,1.5413,0.9540,0.4784,15.2690,6.4454,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,3,M2_Actual_i2_p3,0.8000,0.7547,35.2888,1.5532,0.1596,0.0500,16.8380,2.8232,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,4,M2_Actual_i2_p4,0.8000,0.7689,32.7090,0.9170,0.9530,0.4799,19.4225,2.8167,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,5,M2_Actual_i2_p5,0.8000,0.3372,28.2624,1.5552,0.9491,0.4799,17.1482,1.7101,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,6,M2_Actual_i2_p6,0.8000,0.7685,16.6159,1.5618,0.5451,0.4826,17.4656,2.5953,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,7,M2_Actual_i2_p7,1.6000,0.7829,13.3326,0.8776,0.2024,0.0327,7.2608,0.9004,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,8,M2_Actual_i2_p8,0.8000,0.3226,34.8412,0.9254,0.1413,0.0269,13.4488,1.4346,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,9,M2_Actual_i2_p9,1.6000,0.7743,15.0453,1.5553,0.1549,0.4708,7.9150,0.6042,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,10,M2_Actual_i2_p10,1.6000,0.3523,35.3859,0.8657,0.9484,0.4837,7.8513,0.7491,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,11,M2_Actual_i2_p11,0.8158,0.7712,30.7814,1.5656,0.9544,0.4802,20.2203,2.6920,0.0197,YES
M2_Actual,M2: Actual Hybrid,2,12,M2_Actual_i2_p12,1.5986,0.7675,19.1415,1.5656,0.9482,0.4770,12.8338,3.9576,0.0018,YES
M2_Actual,M2: Actual Hybrid,2,13,M2_Actual_i2_p13,0.8000,0.7660,34.4705,1.5574,0.6536,0.4810,17.1590,1.6653,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,14,M2_Actual_i2_p14,0.9349,0.7793,13.1298,1.5668,0.1384,0.0263,13.8938,2.1945,0.0413,YES
M2_Actual,M2: Actual Hybrid,2,15,M2_Actual_i2_p15,0.8000,0.3223,33.0790,0.8473,0.9546,0.4718,16.3581,1.6296,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,16,M2_Actual_i2_p16,0.8030,0.7663,13.6385,1.4591,0.9461,0.4772,23.2752,8.7795,0.0038,YES
M2_Actual,M2: Actual Hybrid,2,17,M2_Actual_i2_p17,0.8000,0.3379,32.8806,1.5602,0.1457,0.4736,14.6925,1.6702,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,18,M2_Actual_i2_p18,0.8000,0.7680,36.8200,0.8752,0.1499,0.4734,13.9975,1.6115,0.0000,YES
M2_Actual,M2: Actual Hybrid,2,19,M2_Actual_i2_p19,0.8242,0.7511,15.6537,0.8366,0.1198,0.4698,14.7488,2.0840,0.0220,YES
M2_Actual,M2: Actual Hybrid,2,20,M2_Actual_i2_p20,0.8000,0.3330,13.0353,1.5549,0.4067,0.4810,16.8846,3.2766,0.0000,YES
M2_Actual,M2: Actual Hybrid,3,1,M2_Actual_i3_p1,0.8000,0.7676,22.1810,0.8438,0.9690,0.0320,16.0497,1.0583,0.0000,YES
M2_Actual,M2: Actual Hybrid,3,2,M2_Actual_i3_p2,0.8058,0.3328,22.7286,1.5532,0.1375,0.4785,16.3987,2.6008,0.0073,YES
M2_Actual,M2: Actual Hybrid,3,3,M2_Actual_i3_p3,1.0033,0.3375,34.2525,1.1778,0.9772,0.4916,15.9216,2.0001,0.0167,YES
M2_Actual,M2: Actual Hybrid,3,4,M2_Actual_i3_p4,0.9818,0.7683,36.8938,0.8500,0.1380,0.4809,11.5300,1.7372,0.0381,YES
M2_Actual,M2: Actual Hybrid,3,5,M2_Actual_i3_p5,1.0471,0.7672,34.5442,1.5513,0.9605,0.4865,16.1617,2.2563,0.0271,YES
M2_Actual,M2: Actual Hybrid,3,6,M2_Actual_i3_p6,1.5400,0.3250,27.5882,1.5789,0.9615,0.4908,12.2778,4.9572,0.0183,YES
M2_Actual,M2: Actual Hybrid,3,7,M2_Actual_i3_p7,0.8266,0.7737,37.7677,1.5789,0.6156,0.0166,16.9626,2.4096,0.0264,YES
M2_Actual,M2: Actual Hybrid,3,8,M2_Actual_i3_p8,1.6000,0.7771,27.7256,0.8687,0.9771,0.0259,7.2287,0.4057,0.0000,YES
M2_Actual,M2: Actual Hybrid,3,9,M2_Actual_i3_p9,0.9162,0.7758,15.4091,0.9735,0.9764,0.4847,17.0003,2.4523,0.0263,YES
M2_Actual,M2: Actual Hybrid,3,10,M2_Actual_i3_p10,1.0050,0.7657,15.9446,1.5554,0.9670,0.4841,19.3402,5.9965,0.0318,YES
M2_Actual,M2: Actual Hybrid,3,11,M2_Actual_i3_p11,0.9684,0.3362,14.2877,1.5642,0.9660,0.4842,19.5078,8.8046,0.0316,YES
M2_Actual,M2: Actual Hybrid,3,12,M2_Actual_i3_p12,1.0712,0.7667,13.1533,0.8774,0.1251,0.4841,10.7425,1.5436,0.0279,YES
M2_Actual,M2: Actual Hybrid,3,13,M2_Actual_i3_p13,0.9477,0.7676,16.4444,1.5592,0.9665,0.4851,16.1221,2.3001,0.0298,YES
M2_Actual,M2: Actual Hybrid,3,14,M2_Actual_i3_p14,0.8000,0.3302,13.2867,0.8557,0.1409,0.0250,13.0738,1.6161,0.0000,YES
M2_Actual,M2: Actual Hybrid,3,15,M2_Actual_i3_p15,1.1141,0.7711,13.1901,1.5568,0.1293,0.0233,12.0700,2.1598,0.0326,YES
M2_Actual,M2: Actual Hybrid,3,16,M2_Actual_i3_p16,1.6000,0.7646,14.0564,1.5307,0.9585,0.0277,7.7409,0.6204,0.0000,YES
M2_Actual,M2: Actual Hybrid,3,17,M2_Actual_i3_p17,1.6000,0.7781,30.1397,0.8604,0.9679,0.4740,9.6909,1.8232,0.0000,YES
M2_Actual,M2: Actual Hybrid,3,18,M2_Actual_i3_p18,0.8051,0.7575,35.2825,1.5535,0.1388,0.4859,16.0262,2.6339,0.0064,YES
M2_Actual,M2: Actual Hybrid,3,19,M2_Actual_i3_p19,0.8000,0.3312,21.3196,0.8414,0.9618,0.0228,14.4871,0.6265,0.0000,YES
M2_Actual,M2: Actual Hybrid,3,20,M2_Actual_i3_p20,0.8070,0.3189,18.0371,1.5611,0.1366,0.4865,14.1575,2.0365,0.0088,YES
