method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M2_n20,M2: MultiStart (n=20),1,1,M2_n20_i1_p1,0.8000,0.8000,40.0000,0.8000,1.0000,0.5000,21.0493,3.6783,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,2,M2_n20_i1_p2,0.8000,0.8000,40.0000,1.6000,1.0000,0.5000,26.9562,6.4845,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,3,M2_n20_i1_p3,0.8000,0.8000,40.0000,1.6000,1.0000,0.5000,25.8713,7.7808,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,4,M2_n20_i1_p4,0.8000,0.8000,10.0000,0.8000,1.0000,0.5000,17.9805,1.3496,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,5,M2_n20_i1_p5,0.8000,0.8000,10.0000,1.6000,1.0000,0.5000,20.1449,1.8346,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,6,M2_n20_i1_p6,0.8000,0.3000,10.0000,0.8000,1.0000,0.5000,15.6995,1.5378,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,7,M2_n20_i1_p7,0.8000,0.3000,10.0000,1.6000,1.0000,0.5000,18.2003,2.7962,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,8,M2_n20_i1_p8,0.8000,0.3000,10.0000,1.6000,1.0000,0.5000,16.8680,1.0919,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,9,M2_n20_i1_p9,0.8000,0.3000,40.0000,1.6000,1.0000,0.5000,22.5143,8.2548,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,10,M2_n20_i1_p10,0.8000,0.8000,40.0000,0.8000,0.1000,0.5000,14.9325,2.7267,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,11,M2_n20_i1_p11,0.8000,0.3000,40.0000,0.8000,0.1000,0.5000,13.8700,1.7821,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,12,M2_n20_i1_p12,0.8000,0.3000,10.0000,1.6000,0.1000,0.5000,14.5238,1.4551,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,13,M2_n20_i1_p13,0.8000,0.8000,40.0000,1.6000,0.1000,0.0000,14.3450,1.7476,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,14,M2_n20_i1_p14,0.8000,0.3000,40.0000,1.6000,0.1000,0.0000,13.3500,2.1321,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,15,M2_n20_i1_p15,1.6000,0.3000,40.0000,1.6000,1.0000,0.5000,10.9900,2.8715,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,16,M2_n20_i1_p16,1.6000,0.8000,10.0000,0.8000,1.0000,0.0000,6.2678,0.1431,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,17,M2_n20_i1_p17,1.6000,0.8000,10.0000,0.8000,0.1000,0.5000,7.0888,0.5623,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,18,M2_n20_i1_p18,1.6000,0.8000,40.0000,0.8000,1.0000,0.0000,6.3307,0.0982,0.0000,YES
M2_n20,M2: MultiStart (n=20),1,19,M2_n20_i1_p19,1.6000,0.3000,10.0000,1.6000,0.1000,0.5000,6.6213,0.4408,0.0000,YES
