method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M3_KMeans,M3: KMeans Pool,1,1,M3_KMeans_i1_p1,0.8206,0.6976,34.2651,0.9520,0.8806,0.1260,16.4704,1.2868,0.0257,YES
M3_KMeans,M3: KMeans Pool,1,2,M3_KMeans_i1_p2,0.8469,0.3761,11.1333,1.3452,0.8181,0.4017,19.0942,3.9275,0.0378,YES
M3_KMeans,M3: KMeans Pool,1,3,M3_KMeans_i1_p3,0.9218,0.7099,34.7176,1.4573,0.8539,0.4461,20.4612,6.2266,0.1079,NO
M3_KMeans,M3: KMeans Pool,1,4,M3_KMeans_i1_p4,0.8184,0.7098,33.0663,1.4785,0.3477,0.4239,16.7435,2.1862,0.0230,YES
M3_KMeans,M3: KMeans Pool,1,5,M3_KMeans_i1_p5,0.8253,0.6997,15.0137,1.0229,0.7761,0.4316,17.4209,2.1283,0.0317,YES
M3_KMeans,M3: KMeans Pool,1,6,M3_KMeans_i1_p6,0.8123,0.4590,37.1561,0.8782,0.2360,0.1130,12.9143,1.6255,0.0154,YES
M3_KMeans,M3: KMeans Pool,1,7,M3_KMeans_i1_p7,0.8606,0.4918,15.7388,1.3595,0.8694,0.4705,18.3373,6.5816,0.0590,NO
M3_KMeans,M3: KMeans Pool,1,8,M3_KMeans_i1_p8,0.8292,0.5193,13.8816,0.9077,0.1833,0.4167,14.0800,1.7491,0.0365,YES
M3_KMeans,M3: KMeans Pool,1,9,M3_KMeans_i1_p9,0.8222,0.3565,34.2790,0.8641,0.8563,0.3569,15.0885,1.0506,0.0277,YES
M3_KMeans,M3: KMeans Pool,1,10,M3_KMeans_i1_p10,0.8310,0.7703,31.0693,1.3002,0.3045,0.0258,15.6363,1.5368,0.0387,YES
M3_KMeans,M3: KMeans Pool,1,11,M3_KMeans_i1_p11,0.8280,0.3964,35.8994,1.5131,0.7586,0.3925,17.0500,3.2938,0.0350,YES
M3_KMeans,M3: KMeans Pool,1,12,M3_KMeans_i1_p12,0.8406,0.4773,17.6872,0.9259,0.9083,0.4208,15.5539,1.3683,0.0507,NO
