method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M4_MC_Batch,M4: MC Batch,1,1,M4_MC_Batch_i1_p1,1.1022,0.3526,27.0182,1.2811,0.4943,0.2793,11.7420,2.2910,0.1053,NO
M4_MC_Batch,M4: MC Batch,1,2,M4_MC_Batch_i1_p2,1.4705,0.6027,10.9763,1.4821,0.8421,0.3401,11.0644,3.3938,0.0325,YES
M4_MC_Batch,M4: MC Batch,1,3,M4_MC_Batch_i1_p3,1.2220,0.7835,39.7860,1.3609,0.3059,0.2854,10.7844,1.3293,0.0071,YES
M4_MC_Batch,M4: MC Batch,1,4,M4_MC_Batch_i1_p4,0.8137,0.7942,27.3341,1.3664,0.2508,0.4557,16.1650,1.5295,0.0116,YES
M4_MC_Batch,M4: MC Batch,1,5,M4_MC_Batch_i1_p5,0.8187,0.5587,10.0192,1.4673,0.7624,0.4942,19.5767,3.9158,0.0006,YES
M4_MC_Batch,M4: MC Batch,1,6,M4_MC_Batch_i1_p6,0.8202,0.6520,13.8035,1.3592,0.9942,0.3377,18.1268,2.9951,0.0064,YES
M4_MC_Batch,M4: MC Batch,1,7,M4_MC_Batch_i1_p7,0.8098,0.3225,33.7345,1.0252,0.8813,0.4578,15.5871,1.8192,0.0122,YES
M4_MC_Batch,M4: MC Batch,1,8,M4_MC_Batch_i1_p8,0.8051,0.5044,34.4730,1.5272,0.7131,0.3759,19.7567,7.2425,0.0064,YES
M4_MC_Batch,M4: MC Batch,1,9,M4_MC_Batch_i1_p9,1.4154,0.4983,35.1065,0.9802,0.4052,0.3718,8.6054,0.7919,0.1631,NO
M4_MC_Batch,M4: MC Batch,1,10,M4_MC_Batch_i1_p10,1.1527,0.6373,39.6264,1.1927,0.2172,0.4274,10.4771,0.9801,0.0125,YES
M4_MC_Batch,M4: MC Batch,1,11,M4_MC_Batch_i1_p11,1.0311,0.6781,37.8401,1.3255,0.5204,0.1161,13.4975,1.7924,0.0720,NO
M4_MC_Batch,M4: MC Batch,1,12,M4_MC_Batch_i1_p12,0.8478,0.3610,37.7474,1.3424,0.9129,0.4804,24.6670,8.3177,0.0392,YES
M4_MC_Batch,M4: MC Batch,1,13,M4_MC_Batch_i1_p13,0.8862,0.3030,25.6212,1.2215,0.9481,0.0048,14.7675,2.1853,0.0060,YES
M4_MC_Batch,M4: MC Batch,1,14,M4_MC_Batch_i1_p14,0.8055,0.7797,22.9118,1.4257,0.5620,0.2903,17.2226,3.9808,0.0069,YES
M4_MC_Batch,M4: MC Batch,1,15,M4_MC_Batch_i1_p15,0.8031,0.6261,19.8647,0.8498,0.7224,0.4676,16.6764,1.8662,0.0038,YES
M4_MC_Batch,M4: MC Batch,1,16,M4_MC_Batch_i1_p16,0.8003,0.7431,25.0801,1.5936,0.9032,0.2194,18.7739,1.8024,0.0004,YES
M4_MC_Batch,M4: MC Batch,1,17,M4_MC_Batch_i1_p17,0.8191,0.3802,28.5801,1.2577,0.8430,0.4845,16.7772,2.7441,0.0239,YES
M4_MC_Batch,M4: MC Batch,1,18,M4_MC_Batch_i1_p18,0.8109,0.5944,23.6455,1.1267,0.9551,0.3721,17.9286,2.4850,0.0136,YES
M4_MC_Batch,M4: MC Batch,1,19,M4_MC_Batch_i1_p19,1.1671,0.6207,10.1223,0.8026,0.5811,0.3262,10.1865,0.8785,0.0032,YES
M4_MC_Batch,M4: MC Batch,1,20,M4_MC_Batch_i1_p20,0.8959,0.7063,12.2207,0.9283,0.2153,0.3524,12.8667,1.6472,0.0740,NO
M4_MC_Batch,M4: MC Batch,2,1,M4_MC_Batch_i2_p1,1.4658,0.6334,14.6920,1.3913,0.6103,0.4996,9.7672,2.0031,0.0008,YES
M4_MC_Batch,M4: MC Batch,2,2,M4_MC_Batch_i2_p2,0.9192,0.4081,19.8244,1.5308,0.3112,0.4491,15.4594,3.3075,0.0865,NO
M4_MC_Batch,M4: MC Batch,2,3,M4_MC_Batch_i2_p3,1.3962,0.7347,17.0248,1.2655,0.3013,0.4622,9.2783,0.9944,0.0756,NO
M4_MC_Batch,M4: MC Batch,2,4,M4_MC_Batch_i2_p4,0.8504,0.6939,19.8006,0.9785,0.6345,0.2216,14.9829,1.2366,0.0630,NO
M4_MC_Batch,M4: MC Batch,2,5,M4_MC_Batch_i2_p5,1.2220,0.7835,39.7860,1.3609,0.3059,0.2854,10.3228,1.7583,0.0071,YES
M4_MC_Batch,M4: MC Batch,2,6,M4_MC_Batch_i2_p6,0.8346,0.7763,17.0573,1.2522,0.9620,0.3916,18.7759,3.5482,0.0422,YES
M4_MC_Batch,M4: MC Batch,2,7,M4_MC_Batch_i2_p7,1.1428,0.6752,16.0411,1.2850,0.4032,0.3741,12.1075,2.7200,0.2014,NO
M4_MC_Batch,M4: MC Batch,2,8,M4_MC_Batch_i2_p8,1.2917,0.3068,12.4968,1.5928,0.3560,0.0094,9.5614,1.2575,0.0090,YES
