method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M5_Coreset,M5: Coreset,1,1,M5_Coreset_i1_p1,0.8094,0.7475,38.7962,0.9665,0.7921,0.4620,16.4611,1.2925,0.0117,YES
M5_Coreset,M5: Coreset,1,2,M5_Coreset_i1_p2,1.5892,0.7282,11.7814,1.4992,0.5735,0.0455,7.4306,0.1408,0.0135,YES
M5_Coreset,M5: Coreset,1,3,M5_Coreset_i1_p3,0.8348,0.4218,12.3921,0.8054,0.1234,0.1579,14.5225,2.5409,0.0068,YES
M5_Coreset,M5: Coreset,1,4,M5_Coreset_i1_p4,1.5944,0.3477,36.7095,1.4001,0.1247,0.4047,7.1100,0.5449,0.0070,YES
M5_Coreset,M5: Coreset,1,5,M5_Coreset_i1_p5,0.9462,0.3331,14.0380,1.4435,0.9679,0.4243,17.0333,3.0020,0.0357,YES
M5_Coreset,M5: Coreset,1,6,M5_Coreset_i1_p6,0.8478,0.6395,38.9773,1.5073,0.2501,0.0149,13.8869,1.7340,0.0297,YES
M5_Coreset,M5: Coreset,1,7,M5_Coreset_i1_p7,1.5730,0.7490,12.2342,0.8713,0.2140,0.4547,7.2400,0.4657,0.0338,YES
M5_Coreset,M5: Coreset,1,8,M5_Coreset_i1_p8,1.5068,0.3501,39.1121,0.8056,0.9805,0.4210,8.5279,0.8413,0.0070,YES
M5_Coreset,M5: Coreset,1,9,M5_Coreset_i1_p9,1.0024,0.7669,12.2580,1.5959,0.3369,0.4722,12.7725,1.2822,0.0051,YES
M5_Coreset,M5: Coreset,1,10,M5_Coreset_i1_p10,0.8268,0.7622,13.4277,0.9609,0.9865,0.1444,16.6923,1.8529,0.0150,YES
M5_Coreset,M5: Coreset,1,11,M5_Coreset_i1_p11,0.9098,0.3353,38.5925,0.8730,0.7708,0.0301,12.4652,0.7209,0.0469,YES
M5_Coreset,M5: Coreset,1,12,M5_Coreset_i1_p12,1.5819,0.6075,26.4174,1.4877,0.9987,0.4969,13.4595,4.5980,0.0014,YES
M5_Coreset,M5: Coreset,1,13,M5_Coreset_i1_p13,0.8173,0.3075,18.1517,1.5975,0.3573,0.0923,14.8341,0.8598,0.0032,YES
M5_Coreset,M5: Coreset,1,14,M5_Coreset_i1_p14,0.8369,0.4611,35.1031,1.5442,0.3455,0.4809,18.0195,4.1371,0.0382,YES
M5_Coreset,M5: Coreset,1,15,M5_Coreset_i1_p15,0.9519,0.7674,39.2543,1.0664,0.9418,0.0133,13.5336,1.5375,0.0249,YES
M5_Coreset,M5: Coreset,1,16,M5_Coreset_i1_p16,0.9400,0.3183,31.0003,0.8373,0.1719,0.4597,11.8930,0.9271,0.0367,YES
M5_Coreset,M5: Coreset,1,17,M5_Coreset_i1_p17,0.9314,0.7238,39.0188,0.8463,0.1270,0.2234,12.7550,1.3936,0.0300,YES
M5_Coreset,M5: Coreset,1,18,M5_Coreset_i1_p18,1.0609,0.3358,12.9422,1.3901,0.1663,0.4853,10.5470,0.6583,0.0294,YES
M5_Coreset,M5: Coreset,1,19,M5_Coreset_i1_p19,0.9061,0.6902,27.3414,1.5720,0.9289,0.3458,18.1746,2.4033,0.0351,YES
M5_Coreset,M5: Coreset,1,20,M5_Coreset_i1_p20,1.4095,0.7981,13.2398,0.8458,0.9840,0.4789,11.6212,2.4362,0.0038,YES
M5_Coreset,M5: Coreset,2,1,M5_Coreset_i2_p1,0.8198,0.3451,21.9194,1.1070,0.9980,0.4994,17.8848,2.1053,0.0011,YES
M5_Coreset,M5: Coreset,2,2,M5_Coreset_i2_p2,0.9957,0.7872,10.9464,0.8593,0.1606,0.0010,11.9720,1.8604,0.0019,YES
M5_Coreset,M5: Coreset,2,3,M5_Coreset_i2_p3,1.5670,0.7327,39.3185,1.5013,0.5797,0.4498,10.3776,1.4648,0.0227,YES
M5_Coreset,M5: Coreset,2,4,M5_Coreset_i2_p4,0.8607,0.3245,36.2337,1.5323,0.2231,0.1051,14.0643,1.5856,0.0489,YES
M5_Coreset,M5: Coreset,2,5,M5_Coreset_i2_p5,0.9519,0.7674,39.2543,1.0664,0.9418,0.0133,13.4488,1.5871,0.0249,YES
M5_Coreset,M5: Coreset,2,6,M5_Coreset_i2_p6,1.4095,0.7981,13.2398,0.8458,0.9840,0.4789,10.7305,2.0884,0.0038,YES
M5_Coreset,M5: Coreset,2,7,M5_Coreset_i2_p7,0.8102,0.7107,10.1304,1.5814,0.4196,0.3563,17.1873,1.8438,0.0043,YES
M5_Coreset,M5: Coreset,2,8,M5_Coreset_i2_p8,1.5811,0.3174,37.1027,1.3754,0.9702,0.1106,8.3506,1.3665,0.0236,YES
M5_Coreset,M5: Coreset,2,9,M5_Coreset_i2_p9,0.8635,0.6133,32.1037,0.9423,0.1301,0.3971,13.4763,2.1583,0.0334,YES
M5_Coreset,M5: Coreset,2,10,M5_Coreset_i2_p10,0.8803,0.3699,14.5050,0.8448,0.9962,0.0216,13.1797,0.5441,0.0042,YES
M5_Coreset,M5: Coreset,2,11,M5_Coreset_i2_p11,0.8497,0.7811,32.7034,1.4079,0.9714,0.4913,23.4893,8.1186,0.0174,YES
M5_Coreset,M5: Coreset,2,12,M5_Coreset_i2_p12,1.5882,0.3037,23.4388,0.8189,0.9075,0.4948,8.0685,0.9120,0.0074,YES
M5_Coreset,M5: Coreset,2,13,M5_Coreset_i2_p13,1.1170,0.7822,34.6087,1.5927,0.2586,0.0680,11.0388,1.4228,0.0091,YES
M5_Coreset,M5: Coreset,2,14,M5_Coreset_i2_p14,0.8629,0.3438,10.3954,0.8865,0.2439,0.2650,13.1986,1.0739,0.0132,YES
M5_Coreset,M5: Coreset,2,15,M5_Coreset_i2_p15,1.5526,0.3365,18.2816,1.5556,0.8544,0.4577,12.1358,3.3935,0.0555,NO
