method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M6_JointEnt,M6: Joint Entropy,1,1,M6_JointEnt_i1_p1,0.8080,0.7908,14.0357,0.9284,0.8763,0.4305,19.4106,2.6746,0.0100,YES
M6_JointEnt,M6: Joint Entropy,1,2,M6_JointEnt_i1_p2,0.8165,0.3319,37.0760,0.9198,0.1190,0.0555,15.2588,1.6169,0.0207,YES
M6_JointEnt,M6: Joint Entropy,1,3,M6_JointEnt_i1_p3,0.8009,0.7483,36.5791,1.4526,0.3746,0.4540,18.7968,3.1435,0.0012,YES
M6_JointEnt,M6: Joint Entropy,1,4,M6_JointEnt_i1_p4,1.5797,0.7994,11.6455,1.2961,0.6851,0.0144,7.8971,0.5621,0.0012,YES
M6_JointEnt,M6: Joint Entropy,1,5,M6_JointEnt_i1_p5,0.9481,0.3787,10.8927,1.4389,0.9476,0.4631,20.0087,5.4756,0.0298,YES
M6_JointEnt,M6: Joint Entropy,1,6,M6_JointEnt_i1_p6,1.2484,0.7632,38.9125,1.3720,0.9835,0.4938,18.6054,5.3183,0.0124,YES
M6_JointEnt,M6: Joint Entropy,1,7,M6_JointEnt_i1_p7,1.5714,0.7201,31.0125,0.8617,0.7448,0.4878,9.2884,1.7787,0.0244,YES
M6_JointEnt,M6: Joint Entropy,1,8,M6_JointEnt_i1_p8,0.8090,0.3637,36.0332,0.8777,0.9759,0.2676,15.6453,1.0566,0.0113,YES
M6_JointEnt,M6: Joint Entropy,1,9,M6_JointEnt_i1_p9,1.1709,0.7826,13.1037,1.5794,0.1673,0.0386,10.7030,1.5212,0.0258,YES
M6_JointEnt,M6: Joint Entropy,1,10,M6_JointEnt_i1_p10,0.9552,0.7892,29.0290,0.8334,0.9538,0.0081,13.1357,1.0824,0.0162,YES
M6_JointEnt,M6: Joint Entropy,1,11,M6_JointEnt_i1_p11,1.5990,0.4312,12.1005,1.5551,0.6310,0.4115,8.9150,2.1016,0.0013,YES
