method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M7_TrajOpt,M7: Trajectory Opt,1,1,M7_TrajOpt_i1_p1,0.8819,0.3564,23.5722,0.9366,0.1133,0.4503,11.7850,0.9167,0.0148,YES
M7_TrajOpt,M7: Trajectory Opt,1,2,M7_TrajOpt_i1_p2,1.2452,0.6026,39.2352,1.0467,0.1401,0.4918,9.9287,0.8232,0.0163,YES
M7_TrajOpt,M7: Trajectory Opt,1,3,M7_TrajOpt_i1_p3,0.8351,0.7572,33.6223,0.8428,0.6498,0.4490,16.0740,1.8208,0.0439,YES
M7_TrajOpt,M7: Trajectory Opt,1,4,M7_TrajOpt_i1_p4,1.5763,0.3504,34.6010,0.8692,0.7828,0.4901,8.0789,0.5534,0.0198,YES
M7_TrajOpt,M7: Trajectory Opt,1,5,M7_TrajOpt_i1_p5,1.0903,0.3797,29.3226,1.5987,0.5696,0.4318,13.8576,3.8718,0.0017,YES
M7_TrajOpt,M7: Trajectory Opt,1,6,M7_TrajOpt_i1_p6,1.0451,0.7455,38.8750,1.2170,0.3219,0.0095,11.5430,1.1855,0.0189,YES
M7_TrajOpt,M7: Trajectory Opt,1,7,M7_TrajOpt_i1_p7,1.4544,0.4712,10.4773,1.2497,0.9969,0.4986,11.7032,2.9003,0.0029,YES
M7_TrajOpt,M7: Trajectory Opt,1,8,M7_TrajOpt_i1_p8,1.5962,0.8000,33.8034,1.1336,0.9802,0.0228,7.9975,0.8447,0.0001,YES
M7_TrajOpt,M7: Trajectory Opt,1,9,M7_TrajOpt_i1_p9,0.8510,0.7987,15.5291,0.8215,0.4745,0.2091,14.1754,1.9632,0.0026,YES
M7_TrajOpt,M7: Trajectory Opt,1,10,M7_TrajOpt_i1_p10,0.8396,0.7262,38.9757,0.9609,0.1206,0.2500,14.5838,2.4664,0.0229,YES
M7_TrajOpt,M7: Trajectory Opt,1,11,M7_TrajOpt_i1_p11,0.8048,0.7869,36.4615,1.2613,0.7134,0.4696,19.4449,3.3949,0.0060,YES
M7_TrajOpt,M7: Trajectory Opt,1,12,M7_TrajOpt_i1_p12,1.3925,0.5452,13.1305,0.8801,0.1597,0.4760,8.0690,0.6029,0.0481,YES
